name,item_type,quantity,max_sellOrder,min_buyOrder,total_spend,total_income,total_profit
Rough Plank,item,11872,10,10,86351,178725,92374
Nubi Goat,cargo,523,245,245,86445,133575,47130
Rough Animal Hair,item,156,300,395,18796,61620,42824
Simple Rope,item,4186,25,25,86042,127076,41034
Simple Plank,item,6523,18,18,93998,133650,39652
Female Scrofa,cargo,180,500,500,51684,90000,38316
Elenvar Ingot,item,1511,95,100,135472,172820,37348
Rough Rope,item,3645,20,20,56215,85385,29170
Pyrelite Ingot,item,5658,32,32,173969,198740,24771
Basic Raw Meat,item,8006,1,1,8006,28990,20984
Ferralith Ore Chunk,cargo,1180,15,20,8719,29000,20281
Pyrelite Ore Chunk,cargo,875,10,18,5641,24354,18713
Simple Raw Meat,item,11534,3,3,20455,38196,17741
Fine Rope,item,311,110,110,28210,45382,17172
Sturdy Stripped Wood,item,2006,15,16,15399,32096,16697
Fine Plant Roots,cargo,245,50,50,7643,22810,15167
Male Scrofa,cargo,98,400,410,25161,40180,15019
Rough Leather,item,576,60,60,24990,39820,14830
Pyrelite Nails,item,3537,2,2,5155,19609,14454
Infused Fish Oil,item,1673,20,20,27138,41460,14322
Simple Wood Log,item,7434,3,3,15735,29702,13967
Simple Plant Roots,cargo,1509,4,4,2565,16476,13911
Fine Fish Oil,item,500,100,120,46354,60000,13646
Sturdy Wood Log,item,12483,3,3,26113,39105,12992
Simple Tree Bark,item,20729,1,1,20729,33349,12620
Simple Fish Oil,item,4461,9,9,32504,44870,12366
Simple Brick Slab,cargo,41,200,350,4613,16775,12162
Rough Plant Roots,cargo,1350,6,7,4346,16249,11903
Emarium Ingot,item,1200,65,65,70731,82396,11665
Sturdy Wood Trunk,cargo,1318,10,15,9929,21465,11536
Water Bucket,item,9896,1,1,9896,21188,11292
Rough Stone Chunk,cargo,1053,10,10,5723,16760,11037
Fine Leather,item,454,300,300,134330,145200,10870
Rough Wood Log,item,12011,2,2,15058,25522,10464
Fine Raw Meat,item,5549,5,5,22836,33135,10299
Fine Plank,item,913,60,60,45569,55765,10196
Chitin,item,2329,10,10,21189,31078,9889
Salt,item,2644,9,9,16428,26295,9867
Sturdy Plank,item,1497,40,40,54773,64275,9502
Simple Wispweave Seeds,item,1555,25,25,29431,38875,9444
Ferralith Ingot,item,3444,25,25,79525,88927,9402
Sagi Bird,cargo,160,200,221,26347,35360,9013
Fine Tree Bark,item,5513,2,2,9364,17926,8562
Basic Fish Oil,item,3400,8,8,19899,28403,8504
Simple Citric Berry,item,183,60,64,3586,11948,8362
Simple Straw,item,166,70,70,9295,17520,8225
Coralcrest Darter Filet,item,6280,2,2,7346,15442,8096
Sturdy Gypsite,item,92,70,70,2989,10850,7861
Sturdy Glass Vial,item,189,30,44,4417,12069,7652
Jakyl Fur,item,2635,10,10,25480,33042,7562
Rough Brick,item,972,15,15,13524,21070,7546
Basic Amber Resin,item,5319,1,1,5319,12807,7488
Infused Healing Potion,item,190,150,150,21070,28500,7430
Fine Wood Log,item,6384,3,3,14303,21652,7349
Simple Stone Chunk,cargo,442,5,5,1110,8417,7307
Sturdy Rope,item,661,81,90,52295,59490,7195
Rough Wood Log Package,cargo,131,150,175,15857,22925,7068
Basic Citric Berry,item,135,75,79,3701,10764,7063
Infused Raw Meat,item,5000,3,3,10635,17528,6893
Rough Wood Trunk,cargo,2542,3,3,3827,10617,6790
Simple Cloth,item,374,45,50,11970,18700,6730
Simple Wood Trunk,cargo,625,10,10,4014,10656,6642
Sturdy Spool Of Thread,item,694,10,17,5591,12098,6507
Rough Tree Bark,item,37852,1,1,37852,44329,6477
Peerless Clay Lump,item,1500,11,15,16024,22500,6476
Basic Wispweave Seeds,item,7441,2,2,8476,14882,6406
Abyssal Swordfish,cargo,20,250,570,5000,11400,6400
Simple Sand,item,11591,2,2,16865,23182,6317
Jakyl Fang,item,108,400,400,37915,44200,6285
Simple Berry,item,21705,2,2,37353,43410,6057
Savory Mashed Bulbs,item,1344,3,3,2265,8253,5988
Pyrelite Frames,cargo,52,280,290,11733,17545,5812
Elenvar Nails,item,500,20,31,9912,15500,5588
Simple Animal Hair,item,235,50,55,7459,12990,5531
Fine Sand,item,3494,2,2,5547,11076,5529
Simple Leather,item,205,100,106,16227,21730,5503
Exquisite Raw Meat,item,1663,7,7,10979,16387,5408
Mossfin Chub Filet,item,1793,3,4,4257,9578,5321
Beginner's Stone Carvings,item,933,11,11,4951,10263,5312
Ferralith Ore Concentrate,item,819,7,7,3387,8638,5251
Peerless Raw Meat,item,442,20,20,8079,13310,5231
Simple Braxite,item,328,30,30,6159,11300,5141
Fine Wood Log Package,cargo,40,290,300,7100,12000,4900
Sturdy Plant Roots,cargo,148,20,35,2154,6780,4626
Peerless Flower,item,3000,3,3,4484,9000,4516
Male Cervus,cargo,28,390,410,7017,11480,4463
Novice Stone Carvings,item,682,15,15,5803,10230,4427
Rough Glass Vial,item,1148,15,15,13167,17477,4310
Moonlit Crawdad,item,2812,3,3,5165,9436,4271
Exquisite Pebbles,item,2129,2,4,4245,8516,4271
Simple Cloth Strip,item,578,10,12,5270,9456,4186
Plains Ox,cargo,26,400,450,7516,11700,4184
Rough Cloth,item,584,28,29,13871,18025,4154
Sturdy Leather,item,90,300,300,22900,27000,4100
Ornate Sand,item,2000,2,4,3964,8000,4036
Emarium Ingot Package,cargo,4,4000,5000,16000,20000,4000
Fine Mashed Bulbs,item,729,5,9,2566,6561,3995
Peerless Rope,item,252,105,120,26460,30400,3940
Rough Timber,cargo,48,100,100,3606,7525,3919
Rough Cloth Strip,item,420,10,15,2394,6300,3906
Peerless Berry,item,595,6,10,2087,5950,3863
Sturdy Timber,cargo,21,300,480,6252,10100,3848
Simple Amber Resin,item,1780,1,1,1780,5524,3744
Basic Embergrain Seeds,item,3863,2,2,4015,7726,3711
Basic Crop Oil,item,111,40,40,1040,4720,3680
Rough Parchment,item,8609,1,1,8609,12287,3678
Fine Braxite,item,136,6,30,631,4260,3629
Basic Flower,item,8251,2,2,13917,17502,3585
Serpentfish Scale,item,15,1000,1000,11450,15000,3550
Fine Starbulb,item,1310,3,4,3603,7140,3537
Empty Bucket,item,8658,1,1,8658,12158,3500
Plain Deluxe Fish and Bulbs,item,491,10,10,4730,8225,3495
Seastorm Tuna Filet,item,3300,4,4,10710,14200,3490
Sturdy Braxite,item,594,20,20,9460,12920,3460
Azure Shark Filet,item,937,6,6,4126,7527,3401
Lusul Egg,item,10,4900,5000,46600,50000,3400
Simple Spool Of Thread,item,1538,5,5,5298,8690,3392
Proficient Stone Carvings,item,100,30,30,2119,5500,3381
Fine Flower,item,2588,2,2,5007,8376,3369
Basic Starbulb Seeds,item,3508,2,2,3664,7016,3352
Simple Crop Oil,item,175,39,40,5266,8500,3234
Ornate Wood Log,item,200,14,30,2800,6000,3200
Potted Birch Sapling,item,69,5,10,339,3490,3151
Yagi,cargo,23,600,650,11900,14950,3050
Infused Flower,item,6057,4,4,21179,24228,3049
Seastorm Tuna,cargo,100,210,210,17999,21000,3001
Driftwood Crayfish,item,1337,2,2,1782,4749,2967
Fine Tool Scrap,item,10,150,400,1050,4000,2950
Fine Bait,item,697,2,2,731,3503,2772
Rough Wispweave Filament,item,3000,3,3,6336,9000,2664
Sturdy Tree Bark,item,5390,1,1,5390,8040,2650
Emarium Ore Concentrate,item,232,10,15,1842,4480,2638
Fine Citric Berry,item,136,25,30,1631,4250,2619
Basic Stamina Potion,item,100,20,40,1430,4000,2570
Ferralith Scissors,item,27,35,80,310,2860,2550
Basic Wispweave Plant,item,776,5,6,2128,4656,2528
Luminite Ingot,item,329,150,150,47824,50350,2526
Peerless Timber,cargo,1,2500,5000,2500,5000,2500
Hardened Shell,item,26,666,673,15048,17498,2450
Wavecrest Eel Scale,item,12,1000,1200,11989,14400,2411
Jungle Terrorbird,cargo,6,500,900,3000,5400,2400
Simple Gypsite,item,77,69,72,3171,5544,2373
Hexfin Perch Filet,item,1945,10,10,17121,19450,2329
Essential Stone Carvings,item,69,25,25,930,3225,2295
Simple Wood Log Package,cargo,20,160,200,2702,4990,2288
Rough Raw Pelt,item,151,50,50,5292,7550,2258
Sturdy Cloth Tarp,cargo,5,1750,2200,8750,11000,2250
Simple Fertilizer,item,2191,4,4,7075,9301,2226
Exquisite Tannin,item,1156,5,5,5180,7340,2160
Rough Spool Of Thread,item,1184,5,5,3765,5920,2155
Simple Tannin,item,2071,1,1,2071,4214,2143
Infused Mushroom,item,2138,1,2,2138,4276,2138
Rough Wood Plank Package,cargo,11,900,1000,9050,11166,2116
Pyrelite Ore Piece,item,1384,3,3,3255,5370,2115
Infused Chemical Catalyst,item,22,250,300,5500,7600,2100
Simple Wispweave Filament,item,3862,3,3,11518,13586,2068
Peerless Wispweave Filament,item,205,2,12,410,2460,2050
Fine Berry,item,5249,1,1,5249,7266,2017
Dromai,cargo,41,301,310,10701,12710,2009
Ferralith Ingot Package,cargo,10,2000,2200,20000,22000,2000
Peerless Fish Oil,item,25,81,160,2004,4000,1996
Simple Brick,item,893,25,25,20545,22465,1920
Crushed Rough Shells,item,74,50,50,3102,4950,1848
Sturdy Brick Slab,cargo,23,799,800,16593,18400,1807
Ornate Berry,item,313,1,1,313,2113,1800
Peerless Animal Hair,item,100,12,30,1200,3000,1800
Infused Starbulb,item,2891,1,1,2891,4673,1782
Crushed Fine Shells,item,136,15,15,1986,3765,1779
Sturdy Stone Chunk,cargo,182,10,10,1090,2830,1740
Zesty Roasted Fish,item,1612,1,1,1612,3341,1729
Ferralith Crossbow,item,33,25,31,196,1923,1727
Exquisite Straw,item,110,50,50,4856,6500,1644
Fine Deluxe Fish and Bulbs,item,40,44,80,1588,3200,1612
Female Cervus,cargo,10,350,380,2189,3800,1611
Exquisite Leather,item,12,300,400,3600,5200,1600
Emarium Ore Piece,item,382,6,6,1591,3187,1596
Ferralith Claymore,item,20,100,100,905,2500,1595
Peerless Braxite,item,202,18,20,3624,5200,1576
Simple Parchment,item,2406,1,1,2406,3978,1572
Savory Deluxe Fish and Bulbs,item,200,25,25,4228,5750,1522
Crushed Exquisite Shells,item,100,20,30,1479,3000,1521
Fine Geode,cargo,30,50,65,1143,2650,1507
Exquisite Timber,cargo,4,2000,2000,6500,8000,1500
Rough Cleaned Pelt,item,74,15,25,372,1850,1478
Infused Clay Lump,item,360,1,3,360,1830,1470
Simple Timber,cargo,40,1,1,40,1471,1431
Fine Trunk,cargo,328,5,5,1365,2788,1423
Infused Berry,item,2295,3,3,5974,7373,1399
Oceancrest Marlin,cargo,37,30,40,1030,2425,1395
Fine Healing Potion,item,100,140,150,13620,15000,1380
Basic Berry,item,39308,1,1,39308,40655,1347
Simple Leather Sheeting,cargo,7,250,292,740,2044,1304
Sturdy Wood Log Package,cargo,10,200,300,1697,3000,1303
Ferralith Ore Package,cargo,5,250,500,1200,2500,1300
Glittering Junk,item,141,50,50,5758,7050,1292
Luminite Ore Piece,item,80,4,20,319,1600,1281
Emarium Ore Chunk,cargo,64,10,15,566,1845,1279
Pyrelite Crossbow,item,132,20,20,1362,2640,1278
Serpentfish Filet,item,2572,2,2,4228,5504,1276
Exquisite Wood Log,item,500,8,10,3725,5000,1275
Plain Roasted Fish,item,815,1,1,815,2087,1272
Simple Glass Vial,item,296,10,10,2248,3485,1237
Rough Gypsite,item,22,66,80,531,1760,1229
Peerless Wood Log,item,802,5,5,3284,4512,1228
Fine Roasted Fish,item,535,1,1,535,1727,1192
Basic Fertilizer,item,5908,2,2,11015,12205,1190
Ferralith Hoe,item,12,100,100,513,1700,1187
Ferralith Bow,item,15,150,150,1086,2250,1164
Simple Flower,item,3029,3,3,7932,9087,1155
Fine Straw,item,191,30,30,5591,6730,1139
Deed: Pet Croaklin (Pink),item,1,100,1234,100,1234,1134
Basic Sand,item,11293,1,1,11293,12422,1129
Peerless Leather,item,16,650,720,10400,11520,1120
Simple Starbulb,item,1192,1,1,1192,2301,1109
Exquisite Animal Hair,item,200,20,21,4000,5100,1100
Pyrelite Ore Package,cargo,2,200,750,400,1500,1100
Emberscale Sturgeon Filet,item,753,4,4,2930,4012,1082
Simple Leather Shirt,item,81,20,20,587,1620,1033
